Id,Start time,Completion time,Email,Name,"Duke klikuar me poshte, konfirmoj qe kam lexuar informacionin me siper dhe jap pelqimin tim per pjesemarrje ne kete studim.
",Gjinia juaj,Mosha juaj,Niveli me i larte i arsimit qe keni perfunduar,Statusi juaj aktual i punesimit,Ne cfare fushe punoni apo keni studiuar?,"Ku jetoni aktualisht?
",Cila eshte banka juaj kryesore? (ajo qe perdorni me shume),Sa kohe keni qe jeni klient/e e kesaj banke?,Cilat sherbime bankare digjitale perdorni aktualisht?,Sa shpesh i perdorni sherbimet bankare digjitale?,Sa te kenaqur jeni me sherbimet digjitale te bankes suaj?,A keni ndervepruar ndonjehere me nje chatbot (asistent virtual) ne faqen ose aplikacionin e bankes suaj?,Sa pajtoheni me pohimet e meposhtme mbi inteligjencen artificiale (IA) ne banka?.Kam njohuri te mjaftueshme mbi inteligjencen artificiale dhe mundesite e saj,Sa pajtoheni me pohimet e meposhtme mbi inteligjencen artificiale (IA) ne banka?.Besoj se IA mund te permiresoje cilesine e sherbimeve bankare,Sa pajtoheni me pohimet e meposhtme mbi inteligjencen artificiale (IA) ne banka?.Do te ndihesha rehat nese nje sistem IA do te vleresonte kerkesen time per kredi,Sa pajtoheni me pohimet e meposhtme mbi inteligjencen artificiale (IA) ne banka?.Do te preferoja te nderveproja me nje chatbot IA per pyetje te thjeshta bankare,Sa pajtoheni me pohimet e meposhtme mbi inteligjencen artificiale (IA) ne banka?.Jam i/e shqetesuar per privatesine e te dhenave te mia nese banka perdor IA,Sa pajtoheni me pohimet e meposhtme mbi inteligjencen artificiale (IA) ne banka?.Mendoj se IA do te zevendesoje shume nga punet aktuale ne banka,Sa pajtoheni me pohimet e meposhtme mbi gatishmerine tuaj per te perdorur IA ne banka?.Jam i gatshem te perdor nje aplikacion bankar me rekomandime te personalizuara nga IA,Sa pajtoheni me pohimet e meposhtme mbi gatishmerine tuaj per te perdorur IA ne banka?.Besimi im ne bankat shqiptare do te rritej nese IA do te zbulonte mashtrimet ne llogarite e mia me shpejt,Sa pajtoheni me pohimet e meposhtme mbi gatishmerine tuaj per te perdorur IA ne banka?.Do te pranoja keshillim financiar te gjeneruar nga IA nese do te ishte falas,Sa pajtoheni me pohimet e meposhtme mbi gatishmerine tuaj per te perdorur IA ne banka?.Transparenca mbi menyren se si IA merr vendime eshte e rendesishme per mua,Sa pajtoheni me pohimet e meposhtme mbi gatishmerine tuaj per te perdorur IA ne banka?.Do te preferoja nje banke qe perdor IA per sherbime me te shpejta ndaj nje banke qe nuk e perdor,Sa pajtoheni me pohimet e meposhtme mbi gatishmerine tuaj per te perdorur IA ne banka?.Do te ndihesha me i/e sigurt nese nje punonjes njerezor do te verifikonte vendimet e IA,"Sa pajtoheni me pohimet e meposhtme mbi gatishmerine tuaj per te perdorur IA ne banka?.Ne pergjithesi, jam gati te provoj sherbime bankare qe perdorin inteligjencen artificiale",Sa pajtoheni me pohimet e meposhtme mbi gatishmerine tuaj per te perdorur IA ne banka?.Jam i gatshem te perdor nje aplikacion bankar me rekomandime te personalizuara nga IA1,Sa pajtoheni me pohimet e meposhtme mbi gatishmerine tuaj per te perdorur IA ne banka?.Besimi im ne bankat shqiptare do te rritej nese IA do te zbulonte mashtrimet ne llogarite e mia me shpejt1,Sa pajtoheni me pohimet e meposhtme mbi gatishmerine tuaj per te perdorur IA ne banka?.Do te pranoja keshillim financiar te gjeneruar nga IA nese do te ishte falas1,Sa pajtoheni me pohimet e meposhtme mbi gatishmerine tuaj per te perdorur IA ne banka?.Transparenca mbi menyren se si IA merr vendime eshte e rendesishme per mua1,Sa pajtoheni me pohimet e meposhtme mbi gatishmerine tuaj per te perdorur IA ne banka?.Do te preferoja nje banke qe perdor IA per sherbime me te shpejta ndaj nje banke qe nuk e perdor1,Sa pajtoheni me pohimet e meposhtme mbi gatishmerine tuaj per te perdorur IA ne banka?.Do te ndihesha me i/e sigurt nese nje punonjes njerezor do te verifikonte vendimet e IA1,"Sa pajtoheni me pohimet e meposhtme mbi gatishmerine tuaj per te perdorur IA ne banka?.Ne pergjithesi, jam gati te provoj sherbime bankare qe perdorin inteligjencen artificiale1",Sa pajtoheni me pohimet e meposhtme mbi shqetesimet tuaja per perdorimin e IA ne banka?.Mungesa e njohurive te mia mbi IA me pengon te perdor sherbime te tilla,Sa pajtoheni me pohimet e meposhtme mbi shqetesimet tuaja per perdorimin e IA ne banka?.Kam frike se te dhenat e mia personale mund te keqperdoren nese banka perdor IA,"Sa pajtoheni me pohimet e meposhtme mbi shqetesimet tuaja per perdorimin e IA ne banka?.Preferoj te flas me nje njeri, jo me nje robot, kur kam ceshtje bankare",Sa pajtoheni me pohimet e meposhtme mbi shqetesimet tuaja per perdorimin e IA ne banka?.Nuk besoj se IA mund te marre vendime te sakta financiare,Sa pajtoheni me pohimet e meposhtme mbi shqetesimet tuaja per perdorimin e IA ne banka?.Kostot e mundshme shtese per sherbimet me IA me shqetesojne,A keni ndonje koment ose sugjerim shtese mbi perdorimin e inteligjences artificiale ne sherbimet bankare ne Shqiperi?
95,46173.53125,46173.53539351852,anonymous,,"Po, jap pelqimin tim",Mashkull,46-55,Master,I/e punesuar,Teknologji / IT,Elbasan,Raiffeisen Bank,Mbi 5 vjet,Mobile banking (aplikacioni i bankes ne telefon);Internet banking (permes kompjuterit/browserit);Karta debiti/krediti per pagesa online;,Cdo dite,5,Po,Pajtohem plotesisht,Pajtohem plotesisht,Pajtohem,Neutral,Pajtohem,Pajtohem plotesisht,Nuk pajtohem,Pajtohem plotesisht,Neutral,Pajtohem plotesisht,Pajtohem plotesisht,Neutral,Neutral,Nuk pajtohem,Pajtohem,Pajtohem,Pajtohem plotesisht,Pajtohem,Neutral,Nuk pajtohem,Nuk pajtohem aspak,Nuk pajtohem,Neutral,Pajtohem,Nuk pajtohem,"IA mund te rrise shpejtesine e sherbimeve bankare, sidomos per rekomandime dhe zbulim mashtrimesh."
96,46173.53402777778,46173.53539351852,anonymous,,"Po, jap pelqimin tim",Femer,26-35,Bachelor,I/e vetepunesuar,Tregti / Sherbime,Korce,OTP Bank,3-5 vjet,"Mobile banking (aplikacioni i bankes ne telefon);E-wallet (EasyPay, M-Pay, E-Posta, etj.);",Disa here ne muaj,2,Jo,Nuk pajtohem,Neutral,Neutral,Pajtohem,Pajtohem plotesisht,Neutral,Pajtohem,Pajtohem,Nuk pajtohem,Pajtohem,Neutral,Pajtohem plotesisht,Neutral,Pajtohem,Pajtohem,Nuk pajtohem,Pajtohem plotesisht,Pajtohem,Pajtohem plotesisht,Neutral,Pajtohem,Pajtohem,Pajtohem,Nuk pajtohem,Pajtohem,"IA mund te perdoret per pyetje te thjeshta, por jo per vendime financiare te rendesishme."
97,46173.538194444445,46173.54224537037,anonymous,,"Po, jap pelqimin tim",Mashkull,26-35,Master,I/e vetepunesuar,Teknologji / IT,Qytet tjeter,Raiffeisen Bank,3-5 vjet,Mobile banking (aplikacioni i bankes ne telefon);,Disa here ne jave,4,Nuk jam i/e sigurt,Nuk pajtohem,Pajtohem,Pajtohem,Neutral,Pajtohem,Pajtohem,Pajtohem,Pajtohem plotesisht,Pajtohem,Pajtohem,Nuk pajtohem,Pajtohem plotesisht,Neutral,Pajtohem,Pajtohem plotesisht,Neutral,Pajtohem,Nuk pajtohem,Pajtohem plotesisht,Neutral,Nuk pajtohem aspak,Nuk pajtohem,Pajtohem plotesisht,Pajtohem,Nuk pajtohem aspak,"Jam i hapur ndaj IA, por privatesia dhe transparenca jane kushtet kryesore."
98,46173.538194444445,46173.5424537037,anonymous,,"Po, jap pelqimin tim",Femer,36-45,Arsim i mesem (gjimnaz/profesional),I/e papune,Tregti / Sherbime,Shkoder,BKT (Banka Kombetare Tregtare),Me pak se 1 vit,Karta debiti/krediti per pagesa online;,Disa here ne jave,5,Jo,Neutral,Pajtohem plotesisht,Pajtohem plotesisht,Neutral,Pajtohem plotesisht,Pajtohem,Neutral,Pajtohem,Neutral,Pajtohem plotesisht,Pajtohem,Pajtohem,Pajtohem plotesisht,Neutral,Pajtohem,Neutral,Pajtohem,Pajtohem,Pajtohem plotesisht,Pajtohem plotesisht,Nuk pajtohem,Pajtohem plotesisht,Nuk pajtohem,Pajtohem,Nuk pajtohem,"Jam i hapur ndaj IA, por privatesia dhe transparenca jane kushtet kryesore."
99,46173.541666666664,46173.543969907405,anonymous,,"Po, jap pelqimin tim",Mashkull,26-35,Bachelor,I/e punesuar,Teknologji / IT,Qytet tjeter,BKT (Banka Kombetare Tregtare),3-5 vjet,Mobile banking (aplikacioni i bankes ne telefon);Internet banking (permes kompjuterit/browserit);Karta debiti/krediti per pagesa online;,Disa here ne jave,5,Jo,Neutral,Nuk pajtohem,Nuk pajtohem,Pajtohem,Neutral,Neutral,Pajtohem,Pajtohem plotesisht,Pajtohem,Pajtohem plotesisht,Neutral,Pajtohem plotesisht,Neutral,Pajtohem,Pajtohem plotesisht,Pajtohem,Pajtohem plotesisht,Neutral,Pajtohem plotesisht,Neutral,Nuk pajtohem,Pajtohem plotesisht,Pajtohem,Pajtohem plotesisht,Neutral,"IA duhet te zbatohet gradualisht, me auditim, transparence dhe pergjegjesi te qarte institucionale."
100,46173.54236111111,46173.54383101852,anonymous,,"Po, jap pelqimin tim",Femer,26-35,Bachelor,I/e punesuar,Arsim,Zone rurale,Other,Mbi 5 vjet,"Mobile banking (aplikacioni i bankes ne telefon);Karta debiti/krediti per pagesa online;E-wallet (EasyPay, M-Pay, E-Posta, etj.);",Cdo dite,4,Nuk jam i/e sigurt,Pajtohem,Pajtohem plotesisht,Pajtohem plotesisht,Pajtohem,Nuk pajtohem,Nuk pajtohem aspak,Pajtohem plotesisht,Pajtohem plotesisht,Pajtohem plotesisht,Pajtohem,Pajtohem plotesisht,Neutral,Pajtohem plotesisht,Pajtohem plotesisht,Pajtohem plotesisht,Pajtohem plotesisht,Pajtohem plotesisht,Pajtohem,Neutral,Pajtohem plotesisht,Nuk pajtohem aspak,Nuk pajtohem aspak,Nuk pajtohem,Nuk pajtohem,Neutral,"IA mund te rrise shpejtesine e sherbimeve bankare, sidomos per rekomandime dhe zbulim mashtrimesh."
101,46173.544444444444,46173.54607638889,anonymous,,"Po, jap pelqimin tim",Mashkull,46-55,Arsim i mesem (gjimnaz/profesional),I/e punesuar,Tregti / Sherbime,Elbasan,OTP Bank,Me pak se 1 vit,Mobile banking (aplikacioni i bankes ne telefon);Internet banking (permes kompjuterit/browserit);,Disa here ne jave,2,Po,Pajtohem,Pajtohem plotesisht,Pajtohem plotesisht,Pajtohem,Neutral,Neutral,Pajtohem,Neutral,Nuk pajtohem,Pajtohem,Neutral,Nuk pajtohem,Nuk pajtohem,Pajtohem,Neutral,Nuk pajtohem,Pajtohem,Neutral,Nuk pajtohem aspak,Nuk pajtohem,Nuk pajtohem aspak,Nuk pajtohem,Nuk pajtohem,Pajtohem,Neutral,"Sherbimet me IA mund te ndihmojne, por vendimet e rendesishme duhet te verifikohen nga punonjesit e bankes."
102,46173.54791666667,46173.55269675926,anonymous,,"Po, jap pelqimin tim",Mashkull,18-25,Bachelor,Student/e,Bujqesi,Qytet tjeter,Intesa Sanpaolo Bank,Me pak se 1 vit,Mobile banking (aplikacioni i bankes ne telefon);Internet banking (permes kompjuterit/browserit);Karta debiti/krediti per pagesa online;,Disa here ne jave,4,Po,Pajtohem,Pajtohem plotesisht,Pajtohem plotesisht,Pajtohem plotesisht,Nuk pajtohem aspak,Neutral,Neutral,Pajtohem plotesisht,Nuk pajtohem,Pajtohem plotesisht,Pajtohem,Pajtohem,Pajtohem,Nuk pajtohem,Pajtohem plotesisht,Nuk pajtohem,Pajtohem plotesisht,Neutral,Pajtohem,Pajtohem,Nuk pajtohem aspak,Neutral,Nuk pajtohem aspak,Nuk pajtohem aspak,Neutral,"IA mund te rrise shpejtesine e sherbimeve bankare, sidomos per rekomandime dhe zbulim mashtrimesh."
103,46173.55069444444,46173.55207175926,anonymous,,"Po, jap pelqimin tim",Femer,18-25,Arsim i mesem (gjimnaz/profesional),Student/e,Finance / Banke / Sigurime,Tirane,Tirana Bank,1-3 vjet,Mobile banking (aplikacioni i bankes ne telefon);Karta debiti/krediti per pagesa online;,Disa here ne jave,4,Jo,Pajtohem,Pajtohem plotesisht,Pajtohem,Pajtohem plotesisht,Nuk pajtohem aspak,Nuk pajtohem,Pajtohem plotesisht,Pajtohem plotesisht,Pajtohem plotesisht,Neutral,Pajtohem plotesisht,Pajtohem plotesisht,Pajtohem plotesisht,Pajtohem plotesisht,Pajtohem plotesisht,Pajtohem plotesisht,Neutral,Pajtohem plotesisht,Pajtohem plotesisht,Pajtohem plotesisht,Nuk pajtohem aspak,Neutral,Nuk pajtohem aspak,Nuk pajtohem,Nuk pajtohem aspak,"IA mund te rrise shpejtesine e sherbimeve bankare, sidomos per rekomandime dhe zbulim mashtrimesh."
104,46173.55,46173.551932870374,anonymous,,"Po, jap pelqimin tim",Mashkull,26-35,Bachelor,I/e punesuar,Administrate publike,Qytet tjeter,Other,3-5 vjet,"Mobile banking (aplikacioni i bankes ne telefon);Internet banking (permes kompjuterit/browserit);Karta debiti/krediti per pagesa online;E-wallet (EasyPay, M-Pay, E-Posta, etj.);",Cdo dite,5,Po,Neutral,Pajtohem plotesisht,Neutral,Pajtohem plotesisht,Pajtohem,Pajtohem,Pajtohem plotesisht,Pajtohem plotesisht,Neutral,Pajtohem plotesisht,Pajtohem plotesisht,Pajtohem,Pajtohem plotesisht,Pajtohem plotesisht,Pajtohem plotesisht,Neutral,Pajtohem plotesisht,Pajtohem plotesisht,Pajtohem,Pajtohem plotesisht,Nuk pajtohem,Pajtohem plotesisht,Neutral,Neutral,Neutral,"IA duhet te zbatohet gradualisht, me auditim, transparence dhe pergjegjesi te qarte institucionale."
105,46173.552777777775,46173.55472222222,anonymous,,"Po, jap pelqimin tim",Mashkull,36-45,Bachelor,I/e punesuar,Tregti / Sherbime,Shkoder,BKT (Banka Kombetare Tregtare),Me pak se 1 vit,Internet banking (permes kompjuterit/browserit);,Rralle ose kurre,3,Jo,Nuk pajtohem aspak,Neutral,Nuk pajtohem aspak,Nuk pajtohem,Neutral,Neutral,Nuk pajtohem,Nuk pajtohem aspak,Nuk pajtohem aspak,Pajtohem,Nuk pajtohem aspak,Neutral,Nuk pajtohem aspak,Nuk pajtohem,Nuk pajtohem aspak,Nuk pajtohem aspak,Pajtohem,Nuk pajtohem aspak,Neutral,Nuk pajtohem aspak,Neutral,Neutral,Neutral,Pajtohem,Nuk pajtohem,"IA mund te perdoret per pyetje te thjeshta, por jo per vendime financiare te rendesishme."
106,46173.55486111111,46173.557280092595,anonymous,,"Po, jap pelqimin tim",Femer,26-35,Arsim i mesem (gjimnaz/profesional),I/e punesuar,Tregti / Sherbime,Vlore,Raiffeisen Bank,Me pak se 1 vit,"Mobile banking (aplikacioni i bankes ne telefon);Internet banking (permes kompjuterit/browserit);E-wallet (EasyPay, M-Pay, E-Posta, etj.);",Disa here ne jave,5,Jo,Pajtohem,Pajtohem,Nuk pajtohem aspak,Pajtohem plotesisht,Nuk pajtohem,Neutral,Pajtohem plotesisht,Neutral,Pajtohem,Pajtohem plotesisht,Pajtohem plotesisht,Pajtohem plotesisht,Pajtohem plotesisht,Pajtohem plotesisht,Neutral,Pajtohem,Pajtohem plotesisht,Pajtohem plotesisht,Pajtohem plotesisht,Pajtohem plotesisht,Nuk pajtohem,Neutral,Nuk pajtohem,Nuk pajtohem,Pajtohem,Do ta provoja nese banka e shpjegon qarte si ruhen te dhenat dhe si kontrollohen vendimet.
107,46173.558333333334,46173.56017361111,anonymous,,"Po, jap pelqimin tim",Mashkull,46-55,Arsim i mesem (gjimnaz/profesional),I/e papune,Bujqesi,Qytet tjeter,Raiffeisen Bank,Mbi 5 vjet,Mobile banking (aplikacioni i bankes ne telefon);Karta debiti/krediti per pagesa online;,Rralle ose kurre,3,Po,Neutral,Neutral,Nuk pajtohem,Pajtohem,Neutral,Pajtohem plotesisht,Pajtohem,Nuk pajtohem,Nuk pajtohem,Pajtohem,Nuk pajtohem aspak,Neutral,Neutral,Pajtohem,Neutral,Nuk pajtohem,Pajtohem,Nuk pajtohem aspak,Neutral,Neutral,Neutral,Pajtohem plotesisht,Neutral,Neutral,Pajtohem,Per ceshtje bankare preferoj te flas me nje person dhe jo me sistem automatik.
108,46173.56041666667,46173.563622685186,anonymous,,"Po, jap pelqimin tim",Femer,26-35,Master,I/e punesuar,Arsim,Qytet tjeter,BKT (Banka Kombetare Tregtare),Me pak se 1 vit,"Mobile banking (aplikacioni i bankes ne telefon);Internet banking (permes kompjuterit/browserit);Karta debiti/krediti per pagesa online;E-wallet (EasyPay, M-Pay, E-Posta, etj.);",Disa here ne jave,5,Jo,Pajtohem,Pajtohem plotesisht,Pajtohem,Pajtohem plotesisht,Nuk pajtohem aspak,Pajtohem,Pajtohem plotesisht,Pajtohem,Pajtohem,Neutral,Pajtohem plotesisht,Neutral,Pajtohem plotesisht,Pajtohem plotesisht,Pajtohem,Pajtohem,Neutral,Pajtohem plotesisht,Neutral,Pajtohem plotesisht,Nuk pajtohem aspak,Nuk pajtohem,Neutral,Nuk pajtohem,Nuk pajtohem aspak,"IA mund te rrise shpejtesine e sherbimeve bankare, sidomos per rekomandime dhe zbulim mashtrimesh."
109,46173.5625,46173.56476851852,anonymous,,"Po, jap pelqimin tim",Mashkull,36-45,Arsim i mesem (gjimnaz/profesional),I/e vetepunesuar,Administrate publike,Tirane,Intesa Sanpaolo Bank,1-3 vjet,Mobile banking (aplikacioni i bankes ne telefon);,Disa here ne jave,3,Jo,Neutral,Nuk pajtohem,Pajtohem plotesisht,Pajtohem,Pajtohem plotesisht,Neutral,Neutral,Pajtohem,Nuk pajtohem,Pajtohem plotesisht,Neutral,Pajtohem plotesisht,Neutral,Neutral,Pajtohem,Nuk pajtohem,Pajtohem plotesisht,Neutral,Pajtohem plotesisht,Neutral,Pajtohem,Pajtohem plotesisht,Pajtohem plotesisht,Pajtohem plotesisht,Pajtohem,"Jam i hapur ndaj IA, por privatesia dhe transparenca jane kushtet kryesore."
110,46173.56527777778,46173.56885416667,anonymous,,"Po, jap pelqimin tim",Mashkull,26-35,Bachelor,I/e punesuar,Shendetesi / Mjekesi,Tirane,BKT (Banka Kombetare Tregtare),Me pak se 1 vit,Nuk perdor asnje sherbim digjital bankar;,Rralle ose kurre,3,Jo,Nuk pajtohem,Nuk pajtohem aspak,Nuk pajtohem aspak,Nuk pajtohem,Neutral,Neutral,Nuk pajtohem,Pajtohem,Nuk pajtohem aspak,Pajtohem,Pajtohem,Pajtohem plotesisht,Nuk pajtohem aspak,Nuk pajtohem,Pajtohem,Nuk pajtohem aspak,Pajtohem,Neutral,Pajtohem plotesisht,Nuk pajtohem aspak,Pajtohem,Pajtohem,Pajtohem plotesisht,Nuk pajtohem,Pajtohem plotesisht,"IA mund te perdoret per pyetje te thjeshta, por jo per vendime financiare te rendesishme."
111,46173.56527777778,46173.56886574074,anonymous,,"Po, jap pelqimin tim",Mashkull,26-35,Master,I/e vetepunesuar,Teknologji / IT,Durres,Intesa Sanpaolo Bank,3-5 vjet,Mobile banking (aplikacioni i bankes ne telefon);,Cdo dite,4,Po,Neutral,Pajtohem,Pajtohem plotesisht,Pajtohem,Neutral,Neutral,Nuk pajtohem,Pajtohem plotesisht,Nuk pajtohem,Pajtohem plotesisht,Pajtohem,Pajtohem,Pajtohem,Neutral,Pajtohem plotesisht,Nuk pajtohem aspak,Pajtohem plotesisht,Pajtohem,Pajtohem,Pajtohem,Neutral,Pajtohem plotesisht,Pajtohem plotesisht,Nuk pajtohem,Pajtohem,"Jam i hapur ndaj IA, por privatesia dhe transparenca jane kushtet kryesore."
112,46173.56736111111,46173.571597222224,anonymous,,"Po, jap pelqimin tim",Femer,26-35,Bachelor,I/e punesuar,Administrate publike,Tirane,Intesa Sanpaolo Bank,Mbi 5 vjet,"Mobile banking (aplikacioni i bankes ne telefon);Karta debiti/krediti per pagesa online;E-wallet (EasyPay, M-Pay, E-Posta, etj.);",Nje here ne jave,3,Nuk jam i/e sigurt,Neutral,Pajtohem plotesisht,Neutral,Neutral,Pajtohem plotesisht,Pajtohem plotesisht,Pajtohem plotesisht,Pajtohem plotesisht,Nuk pajtohem,Pajtohem plotesisht,Pajtohem,Pajtohem plotesisht,Pajtohem plotesisht,Pajtohem plotesisht,Pajtohem plotesisht,Nuk pajtohem,Pajtohem plotesisht,Pajtohem,Pajtohem plotesisht,Pajtohem plotesisht,Neutral,Pajtohem,Pajtohem plotesisht,Pajtohem plotesisht,Pajtohem,"Sherbimet me IA mund te ndihmojne, por vendimet e rendesishme duhet te verifikohen nga punonjesit e bankes."
113,46173.57083333333,46173.57225694445,anonymous,,"Po, jap pelqimin tim",Femer,36-45,Master,I/e vetepunesuar,Tregti / Sherbime,Durres,BKT (Banka Kombetare Tregtare),1-3 vjet,Mobile banking (aplikacioni i bankes ne telefon);Karta debiti/krediti per pagesa online;,Cdo dite,5,Po,Pajtohem plotesisht,Pajtohem plotesisht,Pajtohem plotesisht,Pajtohem,Neutral,Neutral,Pajtohem,Pajtohem plotesisht,Pajtohem plotesisht,Neutral,Pajtohem plotesisht,Pajtohem plotesisht,Pajtohem,Pajtohem,Pajtohem plotesisht,Pajtohem plotesisht,Neutral,Pajtohem plotesisht,Pajtohem plotesisht,Pajtohem plotesisht,Nuk pajtohem,Pajtohem,Nuk pajtohem aspak,Nuk pajtohem,Neutral,"IA mund te rrise shpejtesine e sherbimeve bankare, sidomos per rekomandime dhe zbulim mashtrimesh."
114,46173.572222222225,46173.57313657407,anonymous,,"Po, jap pelqimin tim",Mashkull,18-25,Bachelor,I/e punesuar,Arsim,Elbasan,Credins Bank,3-5 vjet,Mobile banking (aplikacioni i bankes ne telefon);Karta debiti/krediti per pagesa online;,Cdo dite,3,Jo,Pajtohem,Pajtohem plotesisht,Neutral,Neutral,Pajtohem,Neutral,Pajtohem plotesisht,Pajtohem plotesisht,Nuk pajtohem aspak,Pajtohem,Pajtohem,Pajtohem plotesisht,Neutral,Pajtohem plotesisht,Pajtohem plotesisht,Nuk pajtohem aspak,Pajtohem,Neutral,Pajtohem plotesisht,Nuk pajtohem,Nuk pajtohem,Neutral,Nuk pajtohem,Nuk pajtohem aspak,Pajtohem plotesisht,"IA mund te rrise shpejtesine e sherbimeve bankare, sidomos per rekomandime dhe zbulim mashtrimesh."
115,46173.575,46173.579050925924,anonymous,,"Po, jap pelqimin tim",Mashkull,36-45,Bachelor,I/e vetepunesuar,Shendetesi / Mjekesi,Qytet tjeter,Raiffeisen Bank,1-3 vjet,Nuk perdor asnje sherbim digjital bankar;,Rralle ose kurre,2,Jo,Nuk pajtohem aspak,Nuk pajtohem,Nuk pajtohem aspak,Neutral,Pajtohem plotesisht,Pajtohem,Nuk pajtohem,Nuk pajtohem,Nuk pajtohem aspak,Neutral,Neutral,Pajtohem plotesisht,Nuk pajtohem aspak,Nuk pajtohem,Nuk pajtohem,Nuk pajtohem aspak,Neutral,Neutral,Pajtohem plotesisht,Nuk pajtohem aspak,Pajtohem,Pajtohem,Pajtohem plotesisht,Pajtohem,Pajtohem,Per ceshtje bankare preferoj te flas me nje person dhe jo me sistem automatik.
116,46173.57638888889,46173.581145833334,anonymous,,"Po, jap pelqimin tim",Mashkull,18-25,Bachelor,Student/e,Administrate publike,Qytet tjeter,Tirana Bank,1-3 vjet,"Mobile banking (aplikacioni i bankes ne telefon);E-wallet (EasyPay, M-Pay, E-Posta, etj.);",Nje here ne jave,4,Po,Pajtohem,Neutral,Neutral,Nuk pajtohem aspak,Pajtohem,Pajtohem plotesisht,Neutral,Pajtohem,Nuk pajtohem,Pajtohem plotesisht,Pajtohem,Pajtohem plotesisht,Neutral,Neutral,Pajtohem,Nuk pajtohem,Pajtohem plotesisht,Pajtohem,Pajtohem plotesisht,Neutral,Nuk pajtohem,Pajtohem,Nuk pajtohem,Neutral,Neutral,"Jam i hapur ndaj IA, por privatesia dhe transparenca jane kushtet kryesore."
117,46173.57777777778,46173.582291666666,anonymous,,"Po, jap pelqimin tim",Femer,55+,Arsim baze (9-vjecar),I/e dale ne pension,Tregti / Sherbime,Tirane,BKT (Banka Kombetare Tregtare),Me pak se 1 vit,Nuk perdor asnje sherbim digjital bankar;,Rralle ose kurre,1,Nuk jam i/e sigurt,Nuk pajtohem aspak,Neutral,Nuk pajtohem,Nuk pajtohem,Neutral,Pajtohem plotesisht,Nuk pajtohem aspak,Neutral,Nuk pajtohem,Pajtohem,Nuk pajtohem,Pajtohem,Nuk pajtohem aspak,Nuk pajtohem aspak,Neutral,Nuk pajtohem,Pajtohem plotesisht,Nuk pajtohem,Pajtohem,Nuk pajtohem,Pajtohem,Pajtohem plotesisht,Pajtohem plotesisht,Pajtohem plotesisht,Pajtohem,Per ceshtje bankare preferoj te flas me nje person dhe jo me sistem automatik.
118,46173.57986111111,46173.58076388889,anonymous,,"Po, jap pelqimin tim",Femer,26-35,Arsim i mesem (gjimnaz/profesional),I/e punesuar,Administrate publike,Qytet tjeter,Intesa Sanpaolo Bank,1-3 vjet,Mobile banking (aplikacioni i bankes ne telefon);Karta debiti/krediti per pagesa online;,Disa here ne jave,4,Jo,Pajtohem plotesisht,Neutral,Neutral,Neutral,Pajtohem plotesisht,Pajtohem plotesisht,Pajtohem plotesisht,Neutral,Pajtohem,Pajtohem plotesisht,Pajtohem plotesisht,Pajtohem plotesisht,Neutral,Pajtohem plotesisht,Neutral,Pajtohem,Pajtohem plotesisht,Pajtohem plotesisht,Pajtohem plotesisht,Neutral,Neutral,Pajtohem plotesisht,Pajtohem plotesisht,Pajtohem plotesisht,Pajtohem,"Sherbimet me IA mund te ndihmojne, por vendimet e rendesishme duhet te verifikohen nga punonjesit e bankes."
119,46173.58125,46173.58311342593,anonymous,,"Po, jap pelqimin tim",Mashkull,46-55,Arsim baze (9-vjecar),I/e papune,Tregti / Sherbime,Tirane,Raiffeisen Bank,3-5 vjet,Internet banking (permes kompjuterit/browserit);Karta debiti/krediti per pagesa online;,Disa here ne jave,4,Jo,Neutral,Neutral,Nuk pajtohem aspak,Neutral,Pajtohem plotesisht,Neutral,Neutral,Neutral,Pajtohem,Pajtohem plotesisht,Pajtohem,Neutral,Neutral,Neutral,Neutral,Pajtohem,Pajtohem plotesisht,Pajtohem,Pajtohem,Pajtohem,Pajtohem,Pajtohem plotesisht,Neutral,Neutral,Neutral,"Jam i hapur ndaj IA, por privatesia dhe transparenca jane kushtet kryesore."
120,46173.584027777775,46173.586493055554,anonymous,,"Po, jap pelqimin tim",Mashkull,46-55,Arsim baze (9-vjecar),I/e punesuar,Bujqesi,Tirane,BKT (Banka Kombetare Tregtare),3-5 vjet,"Mobile banking (aplikacioni i bankes ne telefon);Internet banking (permes kompjuterit/browserit);Karta debiti/krediti per pagesa online;E-wallet (EasyPay, M-Pay, E-Posta, etj.);",Disa here ne jave,5,Po,Pajtohem plotesisht,Pajtohem plotesisht,Neutral,Pajtohem plotesisht,Neutral,Neutral,Pajtohem plotesisht,Neutral,Pajtohem plotesisht,Pajtohem,Pajtohem plotesisht,Pajtohem,Pajtohem plotesisht,Pajtohem plotesisht,Neutral,Pajtohem plotesisht,Pajtohem,Pajtohem plotesisht,Pajtohem,Pajtohem plotesisht,Nuk pajtohem aspak,Neutral,Pajtohem plotesisht,Neutral,Neutral,"IA mund te rrise shpejtesine e sherbimeve bankare, sidomos per rekomandime dhe zbulim mashtrimesh."
